Community_ID,Community_Name,Quadrant,Latitude,Longitude,Median_Household_Income,Population_Density,Pct_Apartment_Dwellers,Pct_Single_Family_Detached,Avg_Cars_Per_Household,Avg_Household_Size,Avg_Household_Age,Population_Total
DEMO-001,Beltline,NW,51.124814,-113.952399,160072,6688,74,26,0.5,3.75,43.6,17273
DEMO-002,Bridgeland,NW,51.171247,-114.114721,68436,6835,7,93,2.0,2.47,44.6,18371
DEMO-003,Panorama Hills,SW,50.984104,-114.026025,169374,8385,67,33,0.6,3.43,50.4,24299
DEMO-004,Evergreen,SW,51.09684,-114.217635,109925,4200,58,42,0.7,2.88,30.4,16997
DEMO-005,Saddle Ridge,SW,50.985931,-114.20458,146284,8745,16,84,1.9,3.08,49.6,20856
DEMO-006,Auburn Bay,SE,50.955648,-113.903322,150602,2607,23,77,1.9,1.9,44.8,21413
DEMO-007,Mahogany,NW,51.202804,-113.950402,144013,3897,68,32,0.6,2.15,41.7,20204
DEMO-008,Signal Hill,NW,50.964976,-113.902505,178619,3777,28,72,1.4,2.39,32.3,9380
DEMO-009,Arbour Lake,NW,51.123362,-113.907027,79879,6419,61,39,1.1,3.23,47.1,16035
DEMO-010,Brentwood,NE,50.876458,-114.209481,73688,2240,22,78,1.7,3.42,47.5,7207
DEMO-011,Altadore,SE,50.946675,-114.079516,108481,2384,43,57,1.3,2.38,40.6,18442
DEMO-012,Aspen Woods,SW,51.161866,-114.039813,120510,5753,39,61,1.1,2.45,34.9,10958
DEMO-013,Copperfield,SW,51.120973,-114.244009,99034,8568,57,43,0.9,2.11,41.7,7565
DEMO-014,Cranston,SE,51.020991,-114.132487,176775,1944,5,95,2.1,1.95,35.3,7948
DEMO-015,New Brighton,SE,51.061451,-113.999868,75361,7283,16,84,2.0,3.35,43.0,14377
DEMO-016,Tuscany,SE,50.954389,-113.998689,127997,4390,21,79,1.8,2.41,43.3,9580
DEMO-017,Royal Oak,SW,51.202501,-114.212556,86130,6940,63,37,0.9,2.55,36.5,15335
DEMO-018,Sage Hill,SW,50.939569,-113.91078,106238,4588,59,41,1.2,2.58,49.5,18797
DEMO-019,Evanston,NE,51.032123,-114.085826,115841,4917,73,27,0.9,3.0,48.7,23684
DEMO-020,Redstone,SE,51.119322,-114.02587,158730,1895,26,74,1.4,3.44,31.4,19760
DEMO-021,Seton,NE,51.203137,-113.987491,125040,2978,5,95,2.0,2.02,28.2,24781
DEMO-022,Chaparral,NW,51.048349,-113.906793,73303,8243,25,75,1.9,2.78,28.2,7138
DEMO-023,McKenzie Towne,SE,51.100573,-114.195814,60589,8796,32,68,1.6,1.83,53.1,10230
DEMO-024,Riverbend,SW,50.919375,-114.032795,177124,2600,36,64,1.5,1.99,43.6,8910
DEMO-025,Willow Park,NW,51.130409,-114.22234,137682,8387,37,63,1.3,3.32,43.8,14665
DEMO-026,Lake Bonavista,NE,51.113429,-114.225408,135629,7663,72,28,0.9,2.11,37.0,5989
DEMO-027,Deer Run,NE,51.018364,-114.101752,168835,4832,60,40,0.7,2.12,42.8,24334
DEMO-028,Silverado,NE,51.041701,-113.973717,75507,2050,71,29,0.5,2.64,30.3,22673
DEMO-029,Bridlewood,SW,51.033037,-114.123606,177883,2315,41,59,1.3,2.04,39.8,15127
DEMO-030,Somerset,SW,51.040567,-114.140559,135034,5268,14,86,1.8,2.41,30.7,11916
DEMO-031,Rosscarrock,NW,51.051317,-114.214485,83161,3572,38,62,1.7,3.75,31.1,21677
DEMO-032,Killarney,NE,51.147542,-114.030766,148291,1837,28,72,1.5,3.2,45.3,15813
DEMO-033,Mount Royal,NE,51.104009,-114.233544,65546,3543,24,76,1.8,2.39,50.6,17909
DEMO-034,Rosedale,NE,50.896196,-114.182944,171234,1835,52,48,1.0,1.91,39.1,23842
DEMO-035,Sunnyside,NE,51.140092,-113.892127,153768,4239,33,67,1.2,2.49,41.6,6273
DEMO-036,Hillhurst,SE,51.155688,-114.05562,123361,6507,8,92,2.2,1.83,43.0,18532
DEMO-037,West Hillhurst,SW,51.018432,-113.900517,177194,5360,10,90,2.3,2.4,51.3,17186
DEMO-038,Varsity,NE,50.952879,-113.907068,179709,6225,67,33,1.0,3.46,38.6,14940
DEMO-039,Dalhousie,SW,50.870012,-114.137826,157428,6881,48,52,1.1,2.67,39.8,5398
DEMO-040,Edgemont,SW,50.897144,-114.152557,62559,7408,12,88,1.9,3.28,50.9,17032
DEMO-041,Hamptons,NE,50.969088,-114.099175,91629,7575,39,61,1.5,2.37,39.2,14830
DEMO-042,Hawkwood,NW,50.920246,-113.98944,108401,8327,16,84,1.6,3.67,31.5,19707
DEMO-043,Citadel,SE,50.868807,-114.012624,152974,6822,30,70,1.5,2.07,53.0,7615
DEMO-044,Hidden Valley,SE,51.047492,-113.897747,91047,2848,18,82,1.8,2.12,34.0,10300
DEMO-045,Sandstone Valley,NW,50.984667,-114.049312,72391,3754,17,83,1.7,2.37,48.8,8454
DEMO-046,MacEwan Glen,NW,51.000419,-114.008951,158616,8805,58,42,1.2,2.39,37.2,12363
DEMO-047,Beddington Heights,NE,51.071272,-114.148305,68688,8894,9,91,2.2,2.49,30.2,16219
DEMO-048,Huntington Hills,NE,51.100365,-113.933027,171433,8342,66,34,0.6,2.15,47.6,22895
DEMO-049,Thorncliffe,NW,51.084559,-114.091777,171406,5745,52,48,1.3,2.84,32.4,24619
DEMO-050,Highwood,NW,51.128317,-113.969607,79130,2275,35,65,1.2,2.91,40.1,16300
DEMO-051,West Tuscany,NW,50.909525,-114.168827,155672,2229,55,45,1.0,3.68,50.9,11327
DEMO-052,Upper Huntington Hills,NW,50.953338,-114.079864,76961,4737,64,36,0.8,2.6,36.0,11994
DEMO-053,East Cranston,SE,50.87171,-114.245234,165895,7703,70,30,0.5,2.32,55.0,6591
DEMO-054,East Lake Bonavista,SE,50.911647,-114.100897,148353,8199,29,71,1.6,3.39,50.0,19522
DEMO-055,East Somerset,NW,50.907494,-114.001889,96386,4083,52,48,1.2,2.48,28.3,14827
DEMO-056,Lower Somerset,NW,50.966799,-114.095809,97853,3339,16,84,1.8,2.76,31.0,6732
DEMO-057,East Sunnyside,NE,51.016009,-113.974684,166722,3874,59,41,0.6,2.24,43.6,24142
DEMO-058,Upper Huntington Hills,NE,51.06084,-114.141135,77847,2191,32,68,1.4,2.53,36.2,13108
DEMO-059,Upper Silverado,NW,51.077528,-113.89824,150290,4000,19,81,1.9,3.57,35.1,12010
DEMO-060,West MacEwan Glen,SW,50.920018,-114.131973,110627,3969,62,38,0.9,3.21,34.1,9014
DEMO-061,Upper Edgemont,NW,51.148449,-113.915634,86914,8101,26,74,1.5,3.57,47.3,8596
DEMO-062,North Beddington Heights,SE,51.002719,-114.185179,162799,3306,37,63,1.6,3.13,32.0,7620
DEMO-063,West Varsity,NE,51.008455,-114.04435,114018,7071,35,65,1.5,2.51,36.7,9214
DEMO-064,South Rosscarrock,NW,50.898967,-113.905869,142787,3020,62,38,0.7,2.21,33.3,11573
DEMO-065,West Rosedale,SW,51.061693,-113.893654,77359,7173,12,88,1.7,3.19,42.9,12623
DEMO-066,East Varsity,SE,51.200481,-114.241694,160292,3512,26,74,1.5,3.47,35.3,19639
DEMO-067,Lower New Brighton,NE,50.943352,-114.087328,68034,1864,58,42,1.0,3.77,35.6,6564
DEMO-068,South New Brighton,NE,51.000367,-113.966619,105129,6649,63,37,0.8,2.1,50.6,16399
DEMO-069,North Hamptons,NE,51.171772,-114.187907,179302,5288,60,40,1.0,3.77,32.2,15055
DEMO-070,Upper Hawkwood,NE,51.185884,-114.23629,159336,5135,49,51,1.1,2.21,54.8,11105
DEMO-071,West Rosscarrock,NE,51.049712,-113.9623,155079,5731,41,59,1.3,2.93,33.0,15690
DEMO-072,North Mount Royal,SE,51.176724,-113.932822,61531,1710,57,43,0.9,3.46,32.1,17831
DEMO-073,North Evanston,SE,50.987852,-114.175373,80106,2782,49,51,0.9,3.25,42.7,15415
DEMO-074,Upper Thorncliffe,SE,50.94565,-114.017085,101621,7990,67,33,1.0,3.43,36.0,24836
DEMO-075,Lower Edgemont,NW,51.11841,-114.217376,175171,8001,58,42,1.0,3.35,40.7,5845
DEMO-076,West Tuscany,NE,50.978779,-114.105934,105120,7405,36,64,1.2,3.64,31.1,14774
DEMO-077,North Silverado,SW,51.110976,-113.90679,75144,8136,57,43,0.7,1.81,51.8,19040
DEMO-078,South Aspen Woods,SW,51.004573,-113.971127,65544,8887,29,71,1.6,3.74,49.2,14176
DEMO-079,Upper New Brighton,NW,51.203302,-114.224128,176171,8115,46,54,1.0,2.94,41.2,14180
DEMO-080,South Tuscany,SE,51.11677,-114.250955,94226,8143,40,60,1.1,2.23,31.9,7107
DEMO-081,Lower Seton,NE,51.179481,-114.047486,110076,6771,43,57,1.2,2.8,38.7,18955
DEMO-082,West Willow Park,SE,50.964893,-114.085576,76430,3163,53,47,0.8,2.89,48.4,18581
DEMO-083,West Dalhousie,NE,50.947321,-114.23971,96170,3516,41,59,1.2,2.56,45.2,17837
DEMO-084,Lower Beddington Heights,SW,50.984931,-114.065983,109707,3134,22,78,1.5,2.3,30.9,7210
DEMO-085,Upper Riverbend,NE,50.91657,-114.152,179948,2771,21,79,1.5,3.48,53.4,24149
DEMO-086,South Deer Run,NW,51.113741,-114.143346,89111,8061,74,26,0.5,3.52,41.7,21926
DEMO-087,East Riverbend,NW,51.090503,-114.017175,171335,5042,35,65,1.2,2.09,41.6,7992
DEMO-088,West Beltline,SW,50.984268,-114.201772,105874,7353,71,29,0.7,3.25,31.0,9361
DEMO-089,Upper Citadel,SW,51.047904,-114.059649,70846,6292,27,73,1.8,3.43,38.0,23529
DEMO-090,East Sunnyside,SW,50.905124,-114.047853,94271,7984,42,58,1.0,2.06,50.9,20565
DEMO-091,Upper Lake Bonavista,NW,51.176618,-114.193783,116964,1725,24,76,1.7,2.88,49.7,15194
DEMO-092,Upper Signal Hill,SW,50.962998,-114.165574,132949,6925,63,37,0.8,3.27,52.0,7664
DEMO-093,North Riverbend,SW,51.016517,-114.151863,158697,8310,33,67,1.7,2.26,42.7,10546
DEMO-094,West Tuscany,NW,50.975811,-114.224354,138064,3431,28,72,1.6,3.77,40.2,24550
DEMO-095,North West Hillhurst,NW,51.046627,-113.961637,128738,7622,70,30,0.8,2.71,36.9,7275
DEMO-096,South Panorama Hills,SE,51.017218,-114.000682,83889,1950,63,37,0.7,2.65,45.1,5065
DEMO-097,West Lake Bonavista,SE,50.989505,-114.208401,115823,6181,34,66,1.3,2.74,40.7,21837
DEMO-098,West Deer Run,NE,50.99404,-114.064397,67067,4390,71,29,0.6,3.78,39.7,19825
DEMO-099,East Aspen Woods,SE,51.203413,-114.041442,168322,4033,29,71,1.8,2.73,46.0,6509
DEMO-100,East Hawkwood,NW,51.19575,-114.079936,62079,5490,13,87,2.1,3.04,28.0,5931
